subfigure,molecule,method,steps,energy error of geometry 000 in mHa,energy error of geometry 001 in mHa,energy error of geometry 002 in mHa,energy error of geometry 003 in mHa,energy error of geometry 004 in mHa,energy error of geometry 005 in mHa,energy error of geometry 006 in mHa,energy error of geometry 007 in mHa,energy error of geometry 008 in mHa,energy error of geometry 009 in mHa,energy error of geometry 010 in mHa,energy error of geometry 011 in mHa,energy error of geometry 012 in mHa,energy error of geometry 013 in mHa,energy error of geometry 014 in mHa,energy error of geometry 015 in mHa,energy error of geometry 016 in mHa,energy error of geometry 017 in mHa,energy error of geometry 018 in mHa,energy error of geometry 019 in mHa,energy error of geometry 020 in mHa,energy error of geometry 021 in mHa,energy error of geometry 022 in mHa
a,H4p,indep,64,5.182333441,2.640204352,4.60918945,3.348173167,3.315031244,4.694869021,6.176557545,2.990175649,5.769675993,5.470062925,3.50790369,2.268774579,5.625028482,3.655275064,4.009515694,5.104030903,,,,,,,
a,H4p,indep,128,3.022499533,2.107100409,2.891622006,2.80732062,2.729952051,3.781845072,4.803743366,2.238680288,4.229134344,4.086996748,2.763322467,2.097709248,5.582828394,2.52850886,3.550559929,3.560985859,,,,,,,
a,H4p,indep,256,2.458758802,1.366453093,2.339921414,2.144397761,2.814709856,3.00030897,3.687348369,1.779366895,2.91759374,2.676989271,1.966169948,1.38936765,1.7292689,2.062400537,2.79536908,2.68491679,,,,,,,
a,H4p,indep,512,1.808352919,1.14555828,1.417479931,1.727642084,1.650750353,2.009560565,2.820339207,1.334358617,2.305454038,1.895930006,1.388004894,0.889642308,3.04808127,1.334150988,2.280384949,3.114308651,,,,,,,
a,H4p,indep,1024,1.550264807,0.841455382,1.323304593,1.339735056,1.139223291,1.925160388,1.988854412,0.940729543,1.818364881,1.864697172,1.239827747,0.584704945,2.479810587,1.057823854,1.584560326,1.697625454,,,,,,,
a,H4p,indep,2048,0.995226355,0.640110892,0.851116597,0.909031893,0.930964662,1.36940668,1.691188816,0.750113889,1.917904638,1.015211775,1.108220691,0.056727002,1.904864183,0.762900072,1.267344406,1.493062313,,,,,,,
a,H4p,indep,4096,0.702090712,0.463323516,0.838241993,0.879706408,0.702202036,0.87099264,1.331534389,0.557233259,1.038616918,0.847603513,0.80304491,0.597698758,1.429934374,0.592430788,0.88754361,1.058663662,,,,,,,
a,H4p,indep,8192,0.568457098,0.354843062,0.518165051,0.662983919,0.417530252,0.851323107,1.165833477,0.531364843,0.795310758,0.690843298,0.691941852,0.352127621,1.02283465,0.670274454,0.731260231,0.953044232,,,,,,,
a,H4p,indep,16384,0.472016783,0.256972235,0.497065007,0.531019236,0.379621698,0.747372607,0.816669468,0.425387784,0.623053335,0.488664343,0.604084606,0.253183911,0.788588396,0.473102289,0.524193695,0.738229092,,,,,,,
a,H4p,reuse_same,64,1.552291365,1.599636082,2.230218524,1.12943838,1.337246817,0.971259142,1.979416631,0.788053232,1.893784239,0.644548008,0.750384747,0.493813917,1.594747837,0.962435915,0.823885849,1.76610457,,,,,,,
a,H4p,reuse_same,128,0.99594161,1.642193798,1.34663927,1.093556384,0.61531536,0.704111124,1.371449255,0.580986696,1.42028494,0.438911984,0.59886974,0.337292119,1.291837032,0.545203401,0.77179139,1.384754053,,,,,,,
a,H4p,reuse_same,256,0.855274649,1.358833317,0.702909107,1.015474299,0.387983245,0.700177218,1.030153059,0.449618059,1.062657072,0.308854649,0.503979146,0.366379186,1.044358547,0.411092951,0.567824295,1.25278937,,,,,,,
a,H4p,reuse_same,512,0.732012243,1.214232448,0.647238369,0.83570669,0.339941901,0.595034624,0.834172987,0.364383417,0.960971548,0.250918934,0.436387478,0.348020956,0.963177021,0.434100344,0.627190522,1.124043337,,,,,,,
a,H4p,reuse_same,1024,0.532813521,1.12327576,0.469616527,0.864436129,0.286178511,0.464142824,0.863021635,0.402291971,0.738050176,0.202877591,0.393829762,0.337292119,0.806774433,0.330388262,0.445157936,1.296777597,,,,,,,
a,H4p,reuse_same,2048,0.472255201,1.006927494,0.444940204,0.782539347,0.228838843,0.523866678,0.712579511,0.272830683,0.558044149,0.178916523,0.415168225,0.291634962,0.780786808,0.264227106,0.51000779,1.049299112,,,,,,,
a,H4p,reuse_same,4096,0.4221873,0.968065266,0.414184207,0.679184893,0.273780745,0.382842089,0.677174352,0.373681742,0.65353079,0.173909733,0.33875507,0.233937665,0.747765835,0.270783617,0.414997986,0.700135103,,,,,,,
a,H4p,reuse_same,8192,0.41384265,0.971760753,0.43385374,0.647356013,0.179486197,0.397981669,0.513857626,0.227769571,0.502731039,0.126226017,0.266037404,0.242520734,0.692929562,0.09232731,0.385434082,0.721473566,,,,,,,
a,H4p,reuse_same,16384,0.290937872,0.794734958,0.310233707,0.558306674,0.208930892,0.340880419,0.415509962,0.279744821,0.538851454,0.161392758,0.29512447,0.221897527,0.547732647,0.231921389,0.361592224,0.763673654,,,,,,,
b,H6,indep,64,5.020771209,4.76439608,3.570133588,5.499964417,5.112054817,6.754435209,6.415978748,7.781683087,6.441430099,5.541773173,6.015330176,6.437105309,4.816887913,5.003014983,5.564244859,3.991935041,5.763831688,5.092514492,6.162695198,6.185633359,4.221576826,4.430239515,5.538379122
b,H6,indep,128,3.852043334,2.764541039,2.69394531,3.928070725,3.997686378,4.047907499,4.170314152,3.72046101,3.86746312,4.234524103,3.581314902,4.366201531,3.284571705,3.248969496,3.25516092,2.84108856,3.576102806,2.732647396,4.118494301,4.039150892,3.019947187,2.933447675,2.806817462
b,H6,indep,256,2.794418517,2.544242272,2.328688047,3.092175187,1.91843795,3.200091031,2.800360996,2.526222347,3.16436673,2.922506663,2.518683295,3.066820275,2.257226048,2.222577513,3.104003541,2.359721448,3.000560356,1.989258267,2.793840675,3.025156675,2.452510969,2.427046613,3.033076693
b,H6,indep,512,1.899395172,1.605349907,1.430088422,2.364998521,1.689556114,2.390898374,1.983777363,1.90657246,1.88572789,1.644821497,1.655131201,2.28576101,1.776812611,1.229564131,2.401622407,1.461837079,1.965108467,1.37127731,2.018265037,1.891476331,1.707452909,2.218668775,1.356755663
b,H6,indep,1024,1.567039672,1.348811516,0.967556379,1.696472825,1.320960991,1.510895399,1.489774067,1.186309933,1.476840027,1.42619166,1.359492163,1.288694512,1.838324604,1.085320891,1.608165376,1.111361768,1.306119514,0.889433361,1.508287697,1.376253782,1.197475568,1.250689344,1.324807574
b,H6,indep,2048,1.292381469,0.955659279,0.866466901,1.4959628,1.080158226,1.101053861,0.864163715,0.840602993,1.001671799,1.124830576,0.969439368,0.981134545,0.790951786,1.027385176,1.420529954,0.999305036,0.830951286,1.020086743,0.96564701,1.181227384,0.954765455,0.86039813,1.001750399
b,H6,indep,4096,1.090202514,0.773984322,0.73414459,1.363163651,0.82767295,0.787295011,0.667468387,0.712810635,1.023367889,0.715227457,0.866919379,0.826400887,0.715373097,0.679294051,1.116069429,0.794741895,0.623050285,0.703228451,1.008085518,0.615936933,0.716346876,0.537579374,0.644837786
b,H6,indep,8192,0.936184112,0.517207512,0.56796684,1.02270192,0.731351844,0.546492246,0.506774265,0.587879299,0.812129028,0.699968668,0.689535956,1.385492455,0.398991642,0.576774062,1.103671663,0.593039777,0.624242378,0.522268749,0.612310676,0.398022352,0.560897962,0.522797422,0.48485892
b,H6,indep,16384,0.918779556,0.598508248,0.483566663,1.061802567,0.648859016,0.458992628,0.573293049,0.590501904,0.461892136,0.516147944,0.445156912,0.659507882,0.626442967,0.607530059,0.941070192,0.595423963,0.265422416,0.528229214,0.632814674,0.512940107,0.608820096,0.287955121,0.406180789
b,H6,reuse_same,64,1.58086795,2.542573342,0.69885864,1.236324967,1.443984977,2.22710481,2.195254642,1.033245205,1.139226509,1.193256708,2.070456366,1.831385877,1.433173598,7.55389119,0.88487309,1.730474107,1.091293602,1.530764637,0.935448147,1.553815972,0.727075712,3.462736921,3.391181399
b,H6,reuse_same,128,1.057062332,1.190978417,0.720554731,1.457577408,0.86128997,1.254833845,1.215831119,0.717102169,0.700536323,0.511379572,1.575022559,1.255605009,1.045504988,2.168492325,0.901323972,1.187833421,1.076034813,0.836012898,0.804317928,1.312297952,0.665802137,1.414482908,1.619969775
b,H6,reuse_same,256,1.016769592,0.639039406,0.501448057,1.217966736,-5.30850602,1.140869764,1.037494022,0.692068218,0.817361427,0.571937891,0.969916205,0.958535459,0.753680648,1.664713867,0.687462507,1.107247941,0.784687309,0.821946202,0.495565869,0.777048242,0.203508512,1.012032346,0.882302691
b,H6,reuse_same,512,0.942859832,0.600654015,0.506931684,0.972157181,0.501039497,0.895537046,0.56971677,0.591693997,0.751796318,0.717373224,0.694542746,0.700566556,0.592748107,1.263693817,0.664812742,1.043590181,0.990204124,0.205634175,0.455749966,0.98542608,0.577348844,0.774090604,1.332913806
b,H6,reuse_same,1024,0.948581878,0.620681176,0.473314664,0.850802125,0.705602638,0.71362367,1.037970859,0.453888058,0.485959602,0.385494562,0.514059882,0.291678693,0.569383086,1.205996521,0.442129789,0.98660814,-0.633664818,0.648377476,0.562084652,0.705284249,0.513214246,0.677292661,0.62743323
b,H6,reuse_same,2048,0.816736404,0.567275414,0.459963224,1.098995865,0.667455665,0.345505384,1.24754079,0.937400936,0.537219597,0.777931544,0.525503973,1.854989316,0.708619536,0.903681763,-0.052827181,1.158507936,0.711254387,0.472662983,0.622642971,0.45518316,0.4638616,0.569527463,0.567351748
b,H6,reuse_same,4096,1.243028823,0.561553368,0.454002759,1.019125641,0.730159752,0.470198301,0.313416797,0.444351315,0.282588554,-0.02863851,0.49427114,0.508162763,0.596085967,0.644282349,0.216108976,0.843556993,0.45566967,0.401852665,0.478638149,0.54411329,0.604766981,0.124399976,0.541125704
b,H6,reuse_same,8192,0.747356597,0.414925942,0.491672895,0.955229462,0.63145446,0.50381532,0.366584141,0.380693554,0.497642112,0.617952677,0.201016287,0.435206678,0.695744933,0.785187729,0.521523176,0.855477922,0.60658863,0.449536381,0.585449673,1.957220208,0.484365598,0.392620878,0.417386462
b,H6,reuse_same,16384,0.873956863,0.513154396,0.544124982,0.955944718,0.412109367,0.44349542,0.14008649,0.333486675,0.299754692,0.317306849,0.419169287,0.571343687,0.560084761,0.704125412,0.150543867,0.858100526,0.577501564,0.707982121,0.419271923,1.035970818,0.734466688,0.47940524,0.568305422
c,H10,indep,64,9.418592501,7.810112891,6.917604692,9.58367709,7.661363878,20.92391605,15.42855337,9.19627087,9.906257682,13.94454228,9.060388855,10.52729627,12.98040559,6.934928594,17.37635157,7.364507375,5.840661699,11.03135567,12.12297314,20.73854496,14.34929257,9.794606021,8.714671146
c,H10,indep,128,6.486043978,5.755421576,3.975519426,6.868566311,5.04019002,14.02932758,9.819041038,6.631840634,7.390464835,11.28522145,6.672865204,6.84992811,9.067479868,4.28276032,11.34626887,5.134339987,4.169824297,7.740702439,8.516653717,15.40988972,9.842227755,5.807293704,6.07633115
c,H10,indep,256,4.726038027,4.425045905,2.591737993,5.113328732,3.160021105,8.775535773,7.331381583,5.331028866,5.406822257,7.712757463,4.018312744,4.509134501,6.329957743,2.798843083,7.427144264,3.429170309,2.643468553,6.314482499,5.881174744,9.111824531,6.970237551,4.250897219,5.367274296
c,H10,indep,512,3.149880221,3.799433719,4.585574923,3.411397982,2.690312323,1.937517412,3.395761288,2.641699114,6.210151862,4.644881034,3.340710568,3.741230063,4.607593889,2.360349945,2.791567057,3.580037852,1.953887639,5.205083107,2.296682058,1.668813402,3.612246323,4.459246338,5.04631092
c,H10,indep,1024,2.365694094,1.736161169,1.144537218,1.977170742,1.047155657,3.019634436,2.674113059,2.110470699,2.372707419,2.863323564,1.177793793,1.632375925,2.601568003,1.190948186,3.045487617,1.584287344,1.279237444,2.520289231,2.851828278,3.004017372,3.02727109,6.295574954,2.527232181
c,H10,indep,2048,1.506910372,0.837799963,0.925668962,1.291955746,0.741979875,1.91480274,1.618872428,0.998963284,1.132453971,2.20624196,0.499731354,1.142187327,1.519147654,0.570583043,1.990723823,1.092191396,0.902536089,2.103533555,1.545294464,2.006474037,2.212356387,1.129521182,1.091952335
c,H10,indep,4096,0.786886263,0.756260809,0.262388475,0.764573849,0.520727434,0.977817725,0.672827506,0.498761105,1.153911643,1.023208971,0.188356689,0.394029825,0.636522074,0.388431249,1.259255623,0.447030721,0.436666185,0.690665055,0.636442841,0.941219825,1.152824221,0.516308596,0.78916074
c,H10,indep,8192,-0.144376707,0.047680792,0.26668001,0.515188015,0.261804857,0.064674567,0.661383414,0.182141232,0.689472251,0.521099443,0.070101074,0.144167155,-0.040109854,0.022220311,0.259804939,0.385995565,0.080468828,0.881876755,0.410898865,0.474396248,0.570606051,0.289810946,0.974650394
c,H10,indep,16384,0.22374158,0.163552222,-0.146260969,0.259126461,2.13E-05,0.890556525,0.548849845,0.040997433,0.313247733,0.239288683,-0.153535553,-0.335531027,0.076238413,-0.062179866,0.807213997,0.011201559,-0.189897841,0.00354271,0.179632843,0.208321113,-0.007320585,-0.139819333,0.083918583
c,H10,reuse_same,64,1.865015078,-0.040534082,0.139841326,0.519956387,0.755275779,3.322517748,1.210695557,0.947637766,2.351705332,3.304290471,1.904893135,0.48756188,1.035096819,2.14120369,0.241621674,11.24567081,1.044771471,2.84272785,2.88868978,0.483025479,0.865931522,0.250710299,4.507373629
c,H10,reuse_same,128,0.973806429,-0.052455011,0.857481249,0.611985958,0.616993003,1.792347307,0.645643524,0.911398142,0.731412668,0.915336309,2.242493843,-1.047376932,0.746133501,0.870909501,1.773222626,4.843655128,0.504991808,3.120247076,2.27118566,0.921715664,0.25557996,0.352276614,2.17993146
c,H10,reuse_same,256,0.561819125,0.421997961,-0.237336866,0.36832217,1.455749564,1.953995104,0.991827301,0.371618479,1.542512675,-0.126076045,1.273560737,-0.0460189,0.310304338,0.529017258,0.047072113,2.328815956,0.041029253,2.231899451,1.188765311,0.8015527,0.6346655,0.512017062,-0.157047452
c,H10,reuse_same,512,0.975525255,0.109667789,0.845264254,0.627145815,0.275608954,-0.057569258,-0.029836857,0.569309287,1.410400743,0.803476624,0.408811777,0.602666636,0.395106969,1.609730934,0.263448416,-0.510332411,0.594820786,0.196322144,1.475277443,0.21602849,2.238575171,1.611719871,0.411976742
c,H10,reuse_same,1024,0.054464388,-0.3294974,-0.394693129,-0.052248203,1.324619346,0.358021135,-0.008577057,0.215692728,0.448171396,-0.238132777,0.982690071,-0.018362345,-0.028250044,0.957217026,1.684530914,0.419083137,0.042936602,1.504245947,1.251230979,-0.118266178,0.541205417,0.133408358,0.626395999
c,H10,reuse_same,2048,0.158891726,-0.269892755,-0.762811415,-0.015054905,0.330890708,0.790035601,-0.514978119,0.038309305,-0.029619436,-0.414562526,0.703263496,-1.220945658,-0.905153578,0.978197861,-0.012055695,1.47909214,0.448248186,1.395527075,0.430117393,-0.145445896,0.652308475,0.235928347,0.741313754
c,H10,reuse_same,4096,0.310049105,-0.368598047,-0.06567549,0.010217465,-0.199352212,0.748073931,0.700956635,-0.884370596,0.672284861,-0.077438655,1.047063087,-0.131849589,-0.592825239,0.583376694,-0.185147583,4.606190223,-0.217893324,1.215759467,0.509749198,-0.022421909,0.019545566,0.115765383,0.356983004
c,H10,reuse_same,8192,0.291452456,0.053402838,-0.544896833,-0.1266348,0.057186179,0.370895739,0.069624237,0.083608835,-0.116403799,0.052737889,0.200200294,0.066991506,-0.426885908,0.587191392,-0.1789487,0.118675728,0.290415087,0.672165106,0.164995933,-0.184546543,-0.088696469,-0.189887235,0.554870425
c,H10,reuse_same,16384,-0.084295225,-0.184538904,-0.066152327,-0.151430332,-0.047241158,0.082886095,-0.45108194,-0.40371874,0.281278391,-0.36354095,-0.142168785,-0.115160288,-0.530836409,-0.032220077,0.278338135,0.10818531,-0.278451643,0.679794501,-0.111092782,-0.400553776,-0.705246914,-0.29812927,-0.189949216
c,H10,reuse_smaller,64,16.05926389,4.580980591,15.94921499,3.096866307,7.706631588,8.035193229,3.150935184,8.119000247,20.9135442,11.58325693,4.234994686,12.47257401,6.798099337,4.787649918,6.33828184,3.157849966,3.870370562,18.56452579,5.833253909,4.42075437,2.130159624,3.247282305,7.26357686
c,H10,reuse_smaller,128,5.433424652,2.889162354,6.576026969,1.701163945,3.393639492,3.913773348,9.319248695,4.664431357,2.748484623,5.997586464,3.053392208,5.176488657,4.044364749,3.576960374,3.652734965,2.104993521,2.076509172,9.198967169,3.803358126,2.717492041,1.43779207,2.048036852,4.414951677
c,H10,reuse_smaller,256,2.976282776,1.458650879,3.180469565,1.367854772,1.948727419,1.73377515,4.857006569,3.057490134,2.603043484,4.335808967,1.966680325,3.120843668,3.079723177,1.964773942,2.646131724,1.188035665,1.160981829,5.137268256,2.165422488,1.527783331,0.854620226,1.10532979,3.300106401
c,H10,reuse_smaller,512,1.390085269,1.23262113,0.478395708,1.786435879,2.058471732,2.477562303,1.591576388,0.917440704,1.51078245,2.242032786,0.849055944,3.395962928,0.750299154,0.338914568,0.972266208,1.579012681,1.984938324,3.83991291,0.75294713,5.216900061,2.392779136,1.596440243,2.353023348
c,H10,reuse_smaller,1024,0.51212912,1.262053192,-0.029278102,3.075066108,1.067532351,1.53304174,1.24787228,1.013751041,1.176799827,1.19563464,2.052235817,1.601640482,2.055953799,1.135554124,1.538439005,0.690694509,0.600221331,3.274742316,0.958070803,0.584122595,0.208505876,0.667116442,2.158081407
c,H10,reuse_smaller,2048,1.004324008,0.63371366,-0.188699476,0.16709689,1.260723167,1.074230547,1.220597079,0.860220245,1.281423777,1.1925142,0.61635941,1.736569618,0.509019552,0.844838793,0.671858799,1.101221848,-0.385419189,1.44046833,0.206968584,2.798858832,1.09339788,0.873555111,1.286338625
c,H10,reuse_smaller,4096,0.515089083,0.449177679,-0.272622816,1.403275032,0.833882144,1.398015236,0.788698936,1.272673618,0.403746307,-0.77151651,0.309276281,0.758637356,0.149610216,1.93339939,0.705953298,1.285946245,0.098726549,1.115630923,0.539247294,0.019712656,-0.162396621,0.82727819,0.553334988
c,H10,reuse_smaller,8192,-0.487910459,0.723305244,0.186453605,0.498290073,0.911164497,0.433450989,-1.203194916,0.274170803,-0.177097621,0.681366019,-0.462774576,-0.321504896,1.925769995,0.149271288,0.858223314,0.371660031,0.605050822,0.674079714,0.909056473,0.048322886,0.069723177,0.426289496,-0.365606062
c,H10,reuse_smaller,16384,0.660623348,0.920738273,0.253405381,0.657720774,0.709954996,0.53055173,-0.31421443,0.818168993,0.18715447,0.427547644,-0.519869154,-0.217151942,0.7848634,0.075346283,-2.75625354,0.403399479,0.526438499,1.065659736,0.191105654,0.777187843,0.241384554,-0.007632318,0.341543444
d,Ethene,indep,64,66.04834232,118.313237,66.66090498,60.5911148,82.72545826,63.08911105,79.21671188,63.32641252,67.10045344,65.45002625,68.59483484,54.6464267,66.07053229,73.16981564,68.80932615,63.16344014,61.60743826,64.81491596,55.32612199,62.40646906,,,
d,Ethene,indep,128,35.27899418,48.98492889,46.8168498,41.63969879,52.79534352,37.73663303,48.6228398,39.64477189,44.5479632,42.76783631,41.24345545,36.75549652,40.64176031,47.39772092,43.92224119,46.76024189,38.90236014,40.52292377,32.06409807,34.94827814,,,
d,Ethene,indep,256,26.47467289,35.64111785,33.5645915,27.82286529,34.37798512,30.22167941,37.97220504,31.89330705,31.50169855,23.81642029,30.17320398,30.07977631,27.09195562,38.15089475,36.9337158,31.28020039,29.97596854,33.05374652,24.84669084,30.30197687,,,
d,Ethene,indep,512,25.78043258,25.31854705,23.33061701,22.07940113,24.75264082,20.22717258,19.37347062,20.0507227,16.01256256,18.86494324,26.05333094,23.51849701,20.91977545,25.47084104,27.62585447,20.9423708,23.24684256,21.14426166,15.04291887,16.33255549,,,
d,Ethene,indep,1024,12.24585209,16.7354782,15.52107344,10.71776275,17.91375172,15.58087131,17.13632857,14.90264543,18.63853938,10.63282654,15.73838953,16.65967133,15.06040045,19.71827756,20.25585936,16.76909199,14.06105154,18.42819721,8.794444746,12.52548762,,,
d,Ethene,indep,2048,11.62027633,12.95892791,10.53612238,9.231500742,9.097123242,10.25555393,8.814388594,8.156496621,6.101979063,5.07099793,12.35856775,9.030276797,10.53616949,12.05836545,13.04608152,13.8241457,8.857804473,9.539952578,6.513255781,8.016515449,,,
d,Ethene,indep,4096,7.290287773,6.812977852,6.279700156,4.051882363,5.679154492,3.065480039,7.148676035,5.349853242,5.060726484,1.698805547,7.38420252,4.971438906,4.547094785,7.953751191,7.201965313,7.590930371,5.027848418,5.053868594,2.751964277,3.866124824,,,
d,Ethene,indep,8192,4.227393027,2.865238945,4.348683418,2.220087168,2.367997266,2.397277559,1.253658613,1.74017582,1.654042051,0.18818543,2.699754277,4.063540957,3.883337461,3.795731172,4.539306621,3.883044629,3.059464629,3.268590273,0.737804121,2.012181953,,,
d,Ethene,indep,16384,-0.061101797,2.247257988,1.754689277,0.954382773,-0.335019492,0.849747754,-0.169383242,1.085021699,-0.592654863,-0.399277949,0.967881719,0.630313418,0.953649961,1.720535859,4.073913555,1.838366895,0.900345977,1.44516498,-1.070362383,0.532079414,,,
d,Ethene,reuse_same,64,4.567080996,3.539972422,2.493275449,8.434403047,7.194596465,7.979295293,4.595780469,7.458134453,4.944521523,5.23941584,7.480016055,7.354553203,3.316237188,8.331227363,0.061010801,6.383556074,5.800777754,5.96689498,13.13183566,7.743518262,,,
d,Ethene,reuse_same,128,2.949649355,-0.259466055,0.410450742,5.169022188,1.869279082,0.815293828,2.284073926,2.643986504,-0.838559531,2.225805,2.536168398,2.723510723,1.08082459,8.766102852,0.457739316,2.164500898,4.183346113,4.288428184,2.748229707,6.515185742,,,
d,Ethene,reuse_same,256,5.024844668,1.251154063,0.35704498,3.933060273,-0.488203828,-0.214674434,2.985978223,2.125187676,2.388674355,2.39365168,-0.111231504,2.929504375,0.798536992,1.861500801,-1.159692324,3.11054582,-1.607364336,5.40994918,0.024535859,0.327746777,,,
d,Ethene,reuse_same,512,0.450109922,0.020641035,0.125279727,2.430363457,1.74021041,-0.526499687,3.448419688,-0.248885059,-0.578186309,-1.843875566,-0.815671348,8.82567291,-0.986741328,0.587146191,0.637161836,0.526245098,0.389176543,-0.19178625,-0.169824883,-0.742977598,,,
d,Ethene,reuse_same,1024,-0.856470391,-0.946069277,-2.751002012,-3.427845293,1.911564629,0.420290566,0.636124707,0.540635625,-0.118148223,-0.839155977,-1.565562441,0.869684336,-0.826900937,-0.679333301,-1.081726348,-1.607364336,-0.823266152,-0.686716973,-1.413987422,3.349121074,,,
d,Ethene,reuse_same,2048,-3.181481875,-0.955921465,-0.99624127,0.767155449,0.069373008,-2.655100762,-1.869268301,-2.034163379,-0.112793242,-1.355594316,-2.562802695,-0.787364199,-3.603623652,1.304309277,0.66005002,-0.801269551,-1.830977266,-0.702955684,0.410009102,-0.399654844,,,
d,Ethene,reuse_same,4096,-2.306055352,-2.990747012,-2.369532285,-2.077442461,-2.040461738,-2.127927207,-3.766035938,-1.587965449,-3.09361209,-1.274031465,-3.007518008,-1.14447582,-2.772396543,0.022570996,-0.570556914,-3.270572344,-1.082665566,-1.258921562,-2.878831172,-3.708068867,,,
d,Ethene,reuse_same,8192,-0.549340762,-5.10631209,-1.621851621,0.912113945,0.153296348,-1.098704277,-2.86108959,-2.293562793,-2.172729766,-2.683108965,-1.769345664,-2.519236758,-2.916978145,-1.945812793,1.781571016,1.937683086,-1.663130586,2.852342168,-2.481531426,-2.886837461,,,
d,Ethene,reuse_same,16384,-2.296472109,-0.99624127,-3.198963457,-2.527307793,-0.667170723,-2.585690879,-2.17149248,-2.411940059,-1.598250762,-4.486006563,-2.099620059,-1.365728262,-2.368038633,-2.853710742,-2.714416777,0.467830977,-5.110985879,-1.312327324,-3.466294551,0.190551738,,,
d,Ethene,reuse_smaller,64,54.02445113,54.36365203,50.9719134,51.25420582,43.03267012,54.05590793,44.04693254,50.36993656,43.95140533,48.40595887,50.72003172,55.05763303,44.99785176,50.13932947,59.65893891,50.4302735,44.58176166,49.96498221,49.53568049,45.85804338,,,
d,Ethene,reuse_smaller,128,36.23270309,36.03784637,27.8090716,32.035761,29.07087812,26.10943576,24.18761857,24.28503666,24.62614898,27.24201844,28.85418699,26.08882199,31.52434102,31.72960047,30.99530365,31.68485113,30.41397602,31.16615408,27.4714715,33.49079484,,,
d,Ethene,reuse_smaller,256,26.23819625,19.91693572,22.91100031,20.33226979,19.1984416,20.84515354,17.95440324,18.41040287,17.9046524,18.53687928,26.7484741,23.89155637,22.17833271,22.41410975,22.145206,18.53940436,18.80203754,17.08992117,18.19412775,17.04944963,,,
d,Ethene,reuse_smaller,512,18.29599654,16.8804367,17.3491717,18.27233326,13.43061934,16.19885227,12.07214006,13.63440189,9.405506895,12.57832215,17.1201782,13.99623166,16.72331563,14.92967371,17.02588227,15.19010016,11.81351215,11.58912771,14.69986506,10.87726945,,,
d,Ethene,reuse_smaller,1024,7.950537559,11.51697234,10.89470393,12.98516285,8.303666211,11.29315158,8.516842207,9.667116738,10.91612701,8.115126348,10.75726316,11.35646115,12.30589619,10.55803064,10.57904389,13.94650885,7.96066791,5.340653594,12.33475275,6.093639082,,,
d,Ethene,reuse_smaller,2048,7.752173301,5.97040252,12.57317072,5.264215586,7.975602246,6.166198457,4.183346113,5.570131875,3.630055234,3.751112676,7.858093242,8.014786348,9.750049023,4.935166875,7.557803652,7.575964414,5.343785586,7.423478301,4.98764582,5.31544084,,,
d,Ethene,reuse_smaller,4096,3.182165977,5.939884941,2.746510566,3.272943613,2.818131543,2.633788789,3.565365156,2.350527383,3.21806793,2.86610291,4.218872051,4.085648164,4.867236523,7.36894373,6.962710879,2.166723691,2.26913959,3.311234648,4.125524238,1.279491133,,,
d,Ethene,reuse_smaller,8192,2.213232871,4.368229668,3.440785469,2.975397227,3.611588574,3.404357637,2.466732344,0.435549355,3.103627012,3.812147832,2.822692852,1.606094941,3.577868848,5.125901738,3.346377871,4.699682676,0.95688373,4.806595977,1.844335273,1.104015059,,,
d,Ethene,reuse_smaller,16384,1.534216758,0.400944512,4.31816584,-0.106878164,0.468278027,0.215270723,-0.058597246,3.487307168,0.318898008,-1.475022578,7.301147441,0.713455781,3.364245801,1.120469609,2.911502383,2.059912168,0.819554629,1.106339629,1.920629219,0.768321699,,,
