,Unnamed: 0,geom,key,hash,E_mean,method,tabc_weight,sfc_correction,zpve,hf_correction
0,0.0,9.1,"a=9.1_k=-0.20,-0.20,-0.20",60df6580722a9c60ca5945080c127b4e,-8.149422645568848,moon_tao_lih222,0.064,0.010486190432082647,0.0031134535614946897,
1,1.0,9.1,"a=9.1_k=-0.20,-0.20,-0.40",99a98dc474ec010342fb99cc316875bb,-8.155099868774414,moon_tao_lih222,0.096,0.010600522493177517,0.0031134535614946897,
2,2.0,9.1,"a=9.1_k=-0.20,-0.20,-0.60",f42c0f3c8b1b7f806f694fa98defcc7e,-8.159391403198242,moon_tao_lih222,0.192,0.010743774060242592,0.0031134535614946897,
3,3.0,9.1,"a=9.1_k=-0.20,-0.20,0.20",ebbd37ac1d9fc25438ef326233c74d6a,-8.156993865966797,moon_tao_lih222,0.192,0.010677709720165863,0.0031134535614946897,
4,4.0,9.1,"a=9.1_k=-0.20,-0.20,0.00",04449ff52e6ecffab70672c80810ef4e,-8.150476455688477,moon_tao_lih222,0.048,0.01051039906830205,0.0031134535614946897,
5,5.0,9.1,"a=9.1_k=-0.20,-0.40,-0.60",53616d0fdf9022d7f68530299f3ebd1c,-8.16010856628418,moon_tao_lih222,0.192,0.01074648467974206,0.0031134535614946897,
6,6.0,9.1,"a=9.1_k=-0.20,-0.60,-0.60",0631002a780da96be914289a70bf7357,-8.160272598266602,moon_tao_lih222,0.096,0.010733623257565267,0.0031134535614946897,
7,7.0,9.1,"a=9.1_k=-0.40,-0.40,-0.40",66b0e82e416c1c64fd2f58e56a1b96ec,-8.157479286193848,moon_tao_lih222,0.064,0.010719920608647258,0.0031134535614946897,
8,8.0,9.1,"a=9.1_k=-0.40,-0.40,0.00",50cbc410d238152b1e15b405db82cec7,-8.158785820007324,moon_tao_lih222,0.048,0.010700778026802728,0.0031134535614946897,
9,9.0,9.1,"a=9.1_k=0.00,0.00,0.00",8b17af2759d8205b3a3ba7d0202592ea,-8.142939567565918,moon_tao_lih222,0.008,0.01028767961508356,0.0031134535614946897,
10,10.0,8.7,"a=8.7_k=-0.20,-0.20,-0.20",0fdd950b5c91810f4d565b105a2ada6a,-8.155509948730469,moon_tao_lih222,0.064,0.01167735518483998,0.004484022632408862,
11,11.0,8.7,"a=8.7_k=-0.20,-0.20,-0.40",7914a9cda361b14fcbddb059ef4fd081,-8.16191577911377,moon_tao_lih222,0.096,0.011845956562204775,0.004484022632408862,
12,12.0,8.7,"a=8.7_k=-0.20,-0.20,-0.60",92d7adb8b02eb5238cfe4a7db8dc277c,-8.166936874389648,moon_tao_lih222,0.192,0.011975519223067116,0.004484022632408862,
13,13.0,8.7,"a=8.7_k=-0.20,-0.20,0.20",c6dba5542702ea771b61ff000cc0cdea,-8.164125442504883,moon_tao_lih222,0.192,0.011852201057662732,0.004484022632408862,
14,14.0,8.7,"a=8.7_k=-0.20,-0.20,0.00",3db2595f9462818a94e6ace16d2b03b3,-8.156644821166992,moon_tao_lih222,0.048,0.011703076558988225,0.004484022632408862,
15,15.0,8.7,"a=8.7_k=-0.20,-0.40,-0.60",3c331489d8ae8a13c8db8b218ebfb1d1,-8.167648315429688,moon_tao_lih222,0.192,0.011993679235368315,0.004484022632408862,
16,16.0,8.7,"a=8.7_k=-0.20,-0.60,-0.60",44d4dd367a60666d305c138ccae44972,-8.16778564453125,moon_tao_lih222,0.096,0.011995951891878518,0.004484022632408862,
17,17.0,8.7,"a=8.7_k=-0.40,-0.40,-0.40",be74820112ea3f56c96ea38122eaa272,-8.1646728515625,moon_tao_lih222,0.064,0.011927113763377729,0.004484022632408862,
18,18.0,8.7,"a=8.7_k=-0.40,-0.40,-0.00",d41a6b1fc1fd10e9dcabd1e79410e6dd,-8.166024208068848,moon_tao_lih222,0.048,0.011873929353082761,0.004484022632408862,
19,19.0,8.7,"a=8.7_k=0.00,0.00,0.00",64f9d247f162e7717d6ff54cc1462c99,-8.147954940795898,moon_tao_lih222,0.008,0.011413642070533943,0.004484022632408862,
20,20.0,8.3,"a=8.3_k=-0.20,-0.20,-0.20",22e407fc5e1076d2d9e6dd2197a98be2,-8.160698890686035,moon_tao_lih222,0.064,0.012648914195343986,0.0058545917033230276,
21,21.0,8.3,"a=8.3_k=-0.20,-0.20,-0.40",6c8411612575bbd66d13dce4afed5f88,-8.168139457702637,moon_tao_lih222,0.096,0.01288052008306086,0.0058545917033230276,
22,22.0,8.3,"a=8.3_k=-0.20,-0.20,-0.60",8de50b5438a29ff66b1f09f22a7b7e31,-8.173669815063477,moon_tao_lih222,0.192,0.01301223182492814,0.0058545917033230276,
23,23.0,8.3,"a=8.3_k=-0.20,-0.20,0.20",0ea93dfc912e46d738d5d88dfd9467ee,-8.170422554016113,moon_tao_lih222,0.192,0.012903187996623424,0.0058545917033230276,
24,24.0,8.3,"a=8.3_k=-0.20,-0.20,-0.00",ddfb9f216fffcc74eb043491332fb4c3,-8.161715507507324,moon_tao_lih222,0.048,0.012635444503666016,0.0058545917033230276,
25,25.0,8.3,"a=8.3_k=-0.20,-0.40,-0.60",0d418d503fdf260077549172f4b3c33f,-8.174405097961426,moon_tao_lih222,0.192,0.012966677570370396,0.0058545917033230276,
26,26.0,8.3,"a=8.3_k=-0.20,-0.60,-0.60",205d19cd86fb424b7b0ec65bb74fd539,-8.174527168273926,moon_tao_lih222,0.096,0.01298997649651607,0.0058545917033230276,
27,27.0,8.3,"a=8.3_k=-0.40,-0.40,-0.40",0262e030513326bfcb958d9c79a29a19,-8.171429634094238,moon_tao_lih222,0.064,0.012969201620702846,0.0058545917033230276,
28,28.0,8.3,"a=8.3_k=-0.40,-0.40,0.00",25873d78397dfb113fc742fc78b2aafe,-8.172178268432617,moon_tao_lih222,0.048,0.012906197441250574,0.0058545917033230276,
29,29.0,8.3,"a=8.3_k=0.00,0.00,0.00",04160f6213fee5e772217e97344ae6fb,-8.151775360107422,moon_tao_lih222,0.008,0.012342873092534621,0.0058545917033230276,
30,30.0,7.9,"a=7.9_k=-0.20,-0.20,-0.20",c07d9fd7191d84dcf693f393b0f07644,-8.164260864257812,moon_tao_lih222,0.064,0.013958624052936696,0.0072251607742372,
31,31.0,7.9,"a=7.9_k=-0.20,-0.20,-0.40",281ecc6dc01a7233732cbc99cc0d1415,-8.172813415527344,moon_tao_lih222,0.096,0.014111485950206894,0.0072251607742372,
32,32.0,7.9,"a=7.9_k=-0.20,-0.20,-0.60",4f2f3dad6656705c655bfbb1380f98ad,-8.179193496704102,moon_tao_lih222,0.192,0.01429867061740086,0.0072251607742372,
33,33.0,7.9,"a=7.9_k=-0.20,-0.20,0.20",a29bbc0687edd7abe4e571428a1a21fe,-8.175382614135742,moon_tao_lih222,0.192,0.014137018742467256,0.0072251607742372,
34,34.0,7.9,"a=7.9_k=-0.20,-0.20,0.00",1d95014572d0da7adbcc8ed1b02310c4,-8.16540241241455,moon_tao_lih222,0.048,0.013827611528715516,0.0072251607742372,
35,35.0,7.9,"a=7.9_k=-0.20,-0.40,-0.60",cdd7f56b5b370b68ad9b6d2f2e1984d7,-8.179841995239258,moon_tao_lih222,0.192,0.014305451457312626,0.0072251607742372,
36,36.0,7.9,"a=7.9_k=-0.20,-0.60,-0.60",d2646c45488c74a3d0d1ba221f57c741,-8.179783821105957,moon_tao_lih222,0.096,0.014215151877253045,0.0072251607742372,
37,37.0,7.9,"a=7.9_k=-0.40,-0.40,-0.40",68ce77e398f02f23fcdaad95356b7264,-8.176837921142578,moon_tao_lih222,0.064,0.01427291458761254,0.0072251607742372,
38,38.0,7.9,"a=7.9_k=-0.40,-0.40,-0.00",f423980efd47977669238a4d93bbd522,-8.176849365234375,moon_tao_lih222,0.048,0.014204771332202933,0.0072251607742372,
39,39.0,7.9,"a=7.9_k=0.00,0.00,0.00",5dfe15d6f160acf2661fa43835762572,-8.153641700744629,moon_tao_lih222,0.008,0.013537067886076353,0.0072251607742372,
40,40.0,7.6,"a=7.6_k=-0.20,-0.20,-0.20",0f6854b20f6fb5bba9a8d16885e57aa7,-8.165824890136719,moon_tao_lih222,0.064,0.015098665966241322,0.008253087577422831,
41,41.0,7.6,"a=7.6_k=-0.20,-0.20,-0.40",1a80aaa2d48e21b78331aa92baa0c033,-8.17542552947998,moon_tao_lih222,0.096,0.01526573763493492,0.008253087577422831,
42,42.0,7.6,"a=7.6_k=-0.20,-0.20,-0.60",314370b1c721a16ed19694b5cd0a1e82,-8.182954788208008,moon_tao_lih222,0.192,0.015417852965151115,0.008253087577422831,
43,43.0,7.6,"a=7.6_k=-0.20,-0.20,0.20",94a84098b5a1339df35a4cc456769f4b,-8.178236961364746,moon_tao_lih222,0.192,0.015264316298232964,0.008253087577422831,
44,44.0,7.6,"a=7.6_k=-0.20,-0.20,-0.00",5e5ca27a0119cef3079f72897ceca062,-8.166851043701172,moon_tao_lih222,0.048,0.015040811101850324,0.008253087577422831,
45,45.0,7.6,"a=7.6_k=-0.20,-0.40,-0.60",5cbd3809e40dfd8a146b6b94c289affe,-8.183145523071289,moon_tao_lih222,0.192,0.015405254753474682,0.008253087577422831,
46,46.0,7.6,"a=7.6_k=-0.20,-0.60,-0.60",cd13ce1226eec0ba7ddfdc802632ffe5,-8.183053016662598,moon_tao_lih222,0.096,0.015357866095707183,0.008253087577422831,
47,47.0,7.6,"a=7.6_k=-0.40,-0.40,-0.40",0b87cfc5c10ac3ad675b7e355691bbc4,-8.180330276489258,moon_tao_lih222,0.064,0.015375374379626734,0.008253087577422831,
48,48.0,7.6,"a=7.6_k=-0.40,-0.40,-0.00",c0cc2153306260883417ccaa85df616e,-8.179672241210938,moon_tao_lih222,0.048,0.015345913946168006,0.008253087577422831,
49,49.0,7.6,"a=7.6_k=0.00,0.00,0.00",a17451e0c96952260496fcf21c80ecf9,-8.153121948242188,moon_tao_lih222,0.008,0.014522895389521543,0.008253087577422831,
50,50.0,7.2,"a=7.2_k=-0.20,-0.20,-0.20",538e95dedadbe6b1b9ddb8a989a33dcc,-8.164453506469727,moon_tao_lih222,0.064,0.01636045569529156,0.009623656648337,
51,51.0,7.2,"a=7.2_k=-0.20,-0.20,-0.40",04fced9bbb77753b87258b0ff3881077,-8.175414085388184,moon_tao_lih222,0.096,0.016615602139639443,0.009623656648337,
52,52.0,7.2,"a=7.2_k=-0.20,-0.20,-0.60",1e646cc3d38a25b8f7af4cd5282b8333,-8.183806419372559,moon_tao_lih222,0.192,0.016767250757256134,0.009623656648337,
53,53.0,7.2,"a=7.2_k=-0.20,-0.20,0.20",55b2b20dae5d9eeb5e5ab073e33b8d58,-8.178559303283691,moon_tao_lih222,0.192,0.016542660096482694,0.009623656648337,
54,54.0,7.2,"a=7.2_k=-0.20,-0.20,-0.00",6599eee4d4ad6a76f8035535287e3c73,-8.165006637573242,moon_tao_lih222,0.048,0.016248405263293537,0.009623656648337,
55,55.0,7.2,"a=7.2_k=-0.20,-0.40,-0.60",188831c70881446b79619f032816ee48,-8.183923721313477,moon_tao_lih222,0.192,0.016705762423355402,0.009623656648337,
56,56.0,7.2,"a=7.2_k=-0.20,-0.60,-0.60",e921f87156abef1bb4e4f47dcfc35d6a,-8.18353271484375,moon_tao_lih222,0.096,0.01664691145671757,0.009623656648337,
57,57.0,7.2,"a=7.2_k=-0.40,-0.40,-0.40",46c73eae63e14a6a98a66f4daabab0c2,-8.18114948272705,moon_tao_lih222,0.064,0.016770377921296428,0.009623656648337,
58,58.0,7.2,"a=7.2_k=-0.40,-0.40,-0.00",fa7cef34812ae45cf2d2d186bd848f35,-8.179159164428711,moon_tao_lih222,0.048,0.01648599437700555,0.009623656648337,
59,59.0,7.2,"a=7.2_k=0.00,0.00,0.00",4fcf9e995f68c8a2889dc3860450af19,-8.148992538452148,moon_tao_lih222,0.008,0.015814482995196288,0.009623656648337,
60,60.0,6.8,"a=6.8_k=-0.20,-0.20,-0.20",895b79dc5632cb4e8752ba72e9f86883,-8.158842086791992,moon_tao_lih222,0.064,0.017651553885566006,0.010994225719251172,
61,61.0,6.8,"a=6.8_k=-0.20,-0.20,-0.40",ed0e489ce481e036322c0750b726f1f9,-8.171382904052734,moon_tao_lih222,0.096,0.017782671130691284,0.010994225719251172,
62,62.0,6.8,"a=6.8_k=-0.20,-0.20,-0.60",b520b6edc583aad6637b932cbdefb090,-8.180909156799316,moon_tao_lih222,0.192,0.017902134494279576,0.010994225719251172,
63,63.0,6.8,"a=6.8_k=-0.20,-0.20,0.20",ebc07eef3a13fa90ed731bb451076c37,-8.174481391906738,moon_tao_lih222,0.192,0.017883479421553064,0.010994225719251172,
64,64.0,6.8,"a=6.8_k=-0.20,-0.20,-0.00",949859d37167c11dba5cfde03f775526,-8.158663749694824,moon_tao_lih222,0.048,0.017472624708203426,0.010994225719251172,
65,65.0,6.8,"a=6.8_k=-0.20,-0.40,-0.60",61444c10b90019ec3d56686582b5ed83,-8.180615425109863,moon_tao_lih222,0.192,0.0178387249715441,0.010994225719251172,
66,66.0,6.8,"a=6.8_k=-0.20,-0.60,-0.60",6fb0326c08f5d8fd26d9ae75451cff67,-8.179121971130371,moon_tao_lih222,0.096,0.01790975604418209,0.010994225719251172,
67,67.0,6.8,"a=6.8_k=-0.40,-0.40,-0.40",ea74f20e96ac00edf9c9c03754a61c8b,-8.178360939025879,moon_tao_lih222,0.064,0.017966651800431114,0.010994225719251172,
68,68.0,6.8,"a=6.8_k=-0.40,-0.40,-0.00",4eeab5e0a2e7bf6e2aa6bff73146315e,-8.173622131347656,moon_tao_lih222,0.048,0.017605691652140976,0.010994225719251172,
69,69.0,6.8,"a=6.8_k=0.00,0.00,0.00",7472b91710611860e903daadecbc8368,-8.139917373657227,moon_tao_lih222,0.008,0.016856785751545398,0.010994225719251172,
70,70.0,6.4,"a=6.4_k=-0.20,-0.20,-0.20",837f4f848d1d320d4f009a6062fbd6f8,-8.147744178771973,moon_tao_lih222,0.064,0.019062625317957688,0.012364794790165341,
71,71.0,6.4,"a=6.4_k=-0.20,-0.20,-0.40",63596d60957139b4850ac147ad52fef0,-8.161323547363281,moon_tao_lih222,0.096,0.019357765811767267,0.012364794790165341,
72,72.0,6.4,"a=6.4_k=-0.20,-0.20,-0.60",1fce1855462a5be6e92618e107700a87,-8.172133445739746,moon_tao_lih222,0.192,0.019412049360085122,0.012364794790165341,
73,73.0,6.4,"a=6.4_k=-0.20,-0.20,0.20",dbf91a4df5339d2b1eb4b72429f7aea8,-8.164624214172363,moon_tao_lih222,0.192,0.019153203099162484,0.012364794790165341,
74,74.0,6.4,"a=6.4_k=-0.20,-0.20,-0.00",f5649aff231f8c68227ead12edd555da,-8.146028518676758,moon_tao_lih222,0.048,0.018875999320446302,0.012364794790165341,
75,75.0,6.4,"a=6.4_k=-0.20,-0.40,-0.60",784f92f48cebaed5ffc1a72e318cc5a8,-8.171222686767578,moon_tao_lih222,0.192,0.019207539247817852,0.012364794790165341,
76,76.0,6.4,"a=6.4_k=-0.20,-0.60,-0.60",19fd53a5e42aced440bc7e5b7f384961,-8.16944408416748,moon_tao_lih222,0.096,0.019005711752763967,0.012364794790165341,
77,77.0,6.4,"a=6.4_k=-0.40,-0.40,-0.40",1fa9795d94561892cddb5e45640d6e18,-8.16977310180664,moon_tao_lih222,0.064,0.019345562533463253,0.012364794790165341,
78,78.0,6.4,"a=6.4_k=-0.40,-0.40,0.00",322c56b411f38b5e56c84174aa9ca05c,-8.16237735748291,moon_tao_lih222,0.048,0.019025910282370613,0.012364794790165341,
79,79.0,6.4,"a=6.4_k=0.00,0.00,0.00",954b24373a547e42e18f51e7df7afabc,-8.123944282531738,moon_tao_lih222,0.008,0.018314964120486762,0.012364794790165341,
0,,6.4,,,-8.12185,deepsolid_lih222,,,0.012364794790165341,-0.0099
1,,6.8,,,-8.13738,deepsolid_lih222,,,0.010994225719251172,-0.0067
2,,7.2,,,-8.146147,deepsolid_lih222,,,0.009623656648337,-0.0042
3,,7.6,,,-8.15096,deepsolid_lih222,,,0.008253087577422831,-0.0021
4,,7.9,,,-8.15112,deepsolid_lih222,,,0.0072251607742372,-0.0004
5,,8.3,,,-8.14967,deepsolid_lih222,,,0.0058545917033230276,0.0009
6,,8.7,,,-8.14502,deepsolid_lih222,,,0.004484022632408862,0.002
7,,9.1,,,-8.14094,deepsolid_lih222,,,0.0031134535614946897,0.003
0,,7.6741772396190076,,,-8.165592592592592,moon_tao_lih333,0.008,0.004,0.007998925001453827,
1,,7.6741772396190076,,,-8.16295925925926,moon_tao_lih333,0.048,0.00398,0.007998925001453827,
2,,7.6741772396190076,,,-8.16465925925926,moon_tao_lih333,0.064,0.003986,0.007998925001453827,
3,,7.6741772396190076,,,-8.162607407407407,moon_tao_lih333,0.096,0.003985,0.007998925001453827,
4,,7.6741772396190076,,,-8.16384074074074,moon_tao_lih333,0.192,0.003996,0.007998925001453827,
5,,7.6741772396190076,,,-8.165344444444445,moon_tao_lih333,0.048,0.004,0.007998925001453827,
6,,7.6741772396190076,,,-8.164581481481482,moon_tao_lih333,0.192,0.004,0.007998925001453827,
7,,7.6741772396190076,,,-8.16472962962963,moon_tao_lih333,0.192,0.00401,0.007998925001453827,
8,,7.6741772396190076,,,-8.165277777777778,moon_tao_lih333,0.096,0.00401,0.007998925001453827,
9,,7.6741772396190076,,,-8.1657,moon_tao_lih333,0.064,0.00401,0.007998925001453827,
0,,7.6741772396190076,,,-8.1602,deepsolid_lih333,,,0.007998925001453827,0.0069
